PostalCode|zones_name|zones_region|subzones_name|postal_code_source
427317|Geylang|Central Region||CONDO
528609|Tampines|East Region||CONDO
768094|Yishun|North Region||CONDO
536560|Serangoon|North East Region||CONDO
528770|Tampines|East Region||CONDO
127726|Clementi|West Region||CONDO
799036|Hougang|North East Region||CONDO
469993|Bedok|East Region||CONDO
828794|Punggol|North East Region||CONDO
259704|Newton|Central Region||CONDO
518173|Pasir Ris|East Region||CONDO
417398|Bedok|East Region||CONDO
469338|Bedok|East Region||CONDO
469298|Bedok|East Region||CONDO
828800|Punggol|North East Region||CONDO
545678|Hougang|North East Region||CONDO
437918|Marine Parade|Central Region||CONDO
518170|Pasir Ris|East Region||CONDO
588998|Bukit Timah|Central Region||CONDO
689102|Choa Chu Kang|West Region||CONDO
457469|Bedok|East Region||CONDO
398074|Geylang|Central Region||CONDO
567752|Ang Mo Kio|North East Region||CONDO
429021|Bedok|East Region||CONDO
677723|Bukit Panjang|West Region||CONDO
529598|Tampines|East Region||CONDO
127161|Clementi|West Region||CONDO
828799|Punggol|North East Region||CONDO
518172|Pasir Ris|East Region||CONDO
228240|Newton|Central Region||CONDO
529603|Tampines|East Region||CONDO
589488|Bukit Timah|Central Region||CONDO
59108|Outram|Central Region||CONDO
575629|Bishan|Central Region||CONDO
529602|Tampines|East Region||CONDO
398484|Geylang|Central Region||CONDO
549010|Hougang|North East Region||CONDO
558962|Serangoon|North East Region||CONDO
598790|Bukit Timah|Central Region||CONDO
479251|Bedok|East Region||CONDO
669620|Bukit Batok|West Region||CONDO
415873|Bedok|East Region||CONDO
529604|Tampines|East Region||CONDO
389493|Geylang|Central Region||CONDO
489929|Bedok|East Region||CONDO
544809|Sengkang|North East Region||CONDO
534046|Hougang|North East Region||CONDO
276310|Bukit Timah|Central Region||CONDO
518185|Pasir Ris|East Region||CONDO
427710|Marine Parade|Central Region||CONDO
424167|Bedok|East Region||CONDO
546290|Hougang|North East Region||CONDO
544817|Sengkang|North East Region||CONDO
769474|Sembawang|North Region||CONDO
398915|Geylang|Central Region||CONDO
648398|Jurong West|West Region||CONDO
544775|Hougang|North East Region||CONDO
768105|Yishun|North Region||CONDO
596195|Bukit Timah|Central Region||CONDO
126815|Clementi|West Region||CONDO
828798|Punggol|North East Region||CONDO
268800|Bukit Timah|Central Region||CONDO
518176|Pasir Ris|East Region||CONDO
506918|Pasir Ris|East Region||CONDO
398697|Geylang|Central Region||CONDO
427258|Geylang|Central Region||CONDO
828796|Punggol|North East Region||CONDO
509739|Pasir Ris|East Region||CONDO
769473|Sembawang|North Region||CONDO
689861|Choa Chu Kang|West Region||CONDO
648358|Jurong West|West Region||CONDO
219647|Kallang|Central Region||CONDO
98419|Bukit Merah|Central Region||CONDO
138638|Queenstown|Central Region||CONDO
99208|Bukit Merah|Central Region||CONDO
117506|Queenstown|Central Region||CONDO
589648|Bukit Timah|Central Region||CONDO
598676|Bukit Timah|Central Region||CONDO
229953|Newton|Central Region||CONDO
769475|Sembawang|North Region||CONDO
454943|Bedok|East Region||CONDO
679036|Bukit Panjang|West Region||CONDO
18987|Downtown Core|Central Region||CONDO
479262|Bedok|East Region||CONDO
398729|Geylang|Central Region||CONDO
479279|Bedok|East Region||CONDO
689104|Choa Chu Kang|West Region||CONDO
259725|Tanglin|Central Region||CONDO
598718|Bukit Batok|West Region||CONDO
448906|Bedok|East Region||CONDO
437880|Marine Parade|Central Region||CONDO
596221|Bukit Timah|Central Region||CONDO
479272|Bedok|East Region||CONDO
465498|Bedok|East Region||CONDO
507026|Pasir Ris|East Region||CONDO
769472|Sembawang|North Region||CONDO
739922|Sungei Kadut|North Region||CONDO
578665|Bishan|Central Region||CONDO
677721|Bukit Panjang|West Region||CONDO
518197|Pasir Ris|East Region||CONDO
529904|Tampines|East Region||CONDO
544805|Sengkang|North East Region||CONDO
667980|Bukit Batok|West Region||CONDO
417052|Bedok|East Region||CONDO
389144|Kallang|Central Region||CONDO
417297|Bedok|East Region||CONDO
437871|Marine Parade|Central Region||CONDO
529596|Tampines|East Region||CONDO
158749|Bukit Merah|Central Region||CONDO
546149|Hougang|North East Region||CONDO
588996|Bukit Timah|Central Region||CONDO
425762|Bedok|East Region||CONDO
534042|Hougang|North East Region||CONDO
207412|Rochor|Central Region||CONDO
529599|Tampines|East Region||CONDO
546150|Hougang|North East Region||CONDO
558961|Serangoon|North East Region||CONDO
738087|Woodlands|North Region||CONDO
529595|Tampines|East Region||CONDO
534958|Serangoon|North East Region||CONDO
239224|River Valley|Central Region||CONDO
436914|Kallang|Central Region||CONDO
429986|Marine Parade|Central Region||CONDO
389365|Geylang|Central Region||CONDO
287398|Bukit Timah|Central Region||CONDO
518303|Pasir Ris|East Region||CONDO
598753|Bukit Batok|West Region||CONDO
518199|Pasir Ris|East Region||CONDO
648680|Jurong West|West Region||CONDO
556122|Serangoon|North East Region||CONDO
573973|Bishan|Central Region||CONDO
828795|Punggol|North East Region||CONDO
479283|Bedok|East Region||CONDO
737808|Woodlands|North Region||CONDO
509456|Pasir Ris|East Region||CONDO
329802|Novena|Central Region||CONDO
237988|River Valley|Central Region||CONDO
389758|Geylang|Central Region||CONDO
228193|Rochor|Central Region||CONDO
518195|Pasir Ris|East Region||CONDO
109697|Bukit Merah|Central Region||CONDO
759154|Mandai|North Region||CONDO
529597|Tampines|East Region||CONDO
518174|Pasir Ris|East Region||CONDO
548177|Hougang|North East Region||CONDO
518171|Pasir Ris|East Region||CONDO
479282|Bedok|East Region||CONDO
549754|Hougang|North East Region||CONDO
276955|Bukit Timah|Central Region||CONDO
677722|Bukit Panjang|West Region||CONDO
804851|Serangoon|North East Region||CONDO
787059|Ang Mo Kio|North East Region||CONDO
138642|Queenstown|Central Region||CONDO
289843|Bukit Timah|Central Region||CONDO
127308|Clementi|West Region||CONDO
544779|Hougang|North East Region||CONDO
239223|River Valley|Central Region||CONDO
529605|Tampines|East Region||CONDO
659442|Bukit Batok|West Region||CONDO
507271|Pasir Ris|East Region||CONDO
399732|Geylang|Central Region||CONDO
678267|Bukit Panjang|West Region||CONDO
769133|Yishun|North Region||CONDO
249210|Tanglin|Central Region||CONDO
469296|Bedok|East Region||CONDO
658881|Bukit Batok|West Region||CONDO
425602|Bedok|East Region||CONDO
465494|Bedok|East Region||CONDO
539557|Hougang|North East Region||CONDO
534038|Hougang|North East Region||CONDO
518196|Pasir Ris|East Region||CONDO
429381|Geylang|Central Region||CONDO
319582|Toa Payoh|Central Region||CONDO
507025|Pasir Ris|East Region||CONDO
238002|River Valley|Central Region||CONDO
648316|Jurong West|West Region||CONDO
535926|Hougang|North East Region||CONDO
529943|Tampines|East Region||CONDO
689408|Bukit Batok|West Region||CONDO
579726|Toa Payoh|Central Region||CONDO
219384|Kallang|Central Region||CONDO
479267|Bedok|East Region||CONDO
459902|Bedok|East Region||CONDO
357776|Toa Payoh|Central Region||CONDO
689103|Choa Chu Kang|West Region||CONDO
159961|Queenstown|Central Region||CONDO
506916|Pasir Ris|East Region||CONDO
808576|Serangoon|North East Region||CONDO
329564|Novena|Central Region||CONDO
424171|Bedok|East Region||CONDO
425414|Bedok|East Region||CONDO
158746|Bukit Merah|Central Region||CONDO
556743|Serangoon|North East Region||CONDO
534957|Serangoon|North East Region||CONDO
544740|Sengkang|North East Region||CONDO
518768|Pasir Ris|East Region||CONDO
229975|Rochor|Central Region||CONDO
238255|Singapore River|Central Region||CONDO
427955|Bedok|East Region||CONDO
547261|Hougang|North East Region||CONDO
