PostalCode|zones_name|zones_region|subzones_name|postal_code_source
560216|ANGMOKIO|NORTH-EASTREGION|SHANGRI-LA|HDB
560304|ANGMOKIO|NORTH-EASTREGION|HENDERSONHILL|HDB
560306|ANGMOKIO|NORTH-EASTREGION|HENDERSONHILL|HDB
560332|ANGMOKIO|NORTH-EASTREGION|HENDERSONHILL|HDB
560336|ANGMOKIO|NORTH-EASTREGION|HENDERSONHILL|HDB
560335|ANGMOKIO|NORTH-EASTREGION|HENDERSONHILL|HDB
560418|ANGMOKIO|NORTH-EASTREGION|CHONGBOON|HDB
560440|ANGMOKIO|NORTH-EASTREGION|CHONGBOON|HDB
560432|ANGMOKIO|NORTH-EASTREGION|CHONGBOON|HDB
560470|ANGMOKIO|NORTH-EASTREGION|CHONGBOON|HDB
560472|ANGMOKIO|NORTH-EASTREGION|CHONGBOON|HDB
560476|ANGMOKIO|NORTH-EASTREGION|CHONGBOON|HDB
560474|ANGMOKIO|NORTH-EASTREGION|CHONGBOON|HDB
560456|ANGMOKIO|NORTH-EASTREGION|CHONGBOON|HDB
560460|ANGMOKIO|NORTH-EASTREGION|CHONGBOON|HDB
560462|ANGMOKIO|NORTH-EASTREGION|CHONGBOON|HDB
560560|ANGMOKIO|NORTH-EASTREGION|CHENGSAN|HDB
560558|ANGMOKIO|NORTH-EASTREGION|CHENGSAN|HDB
560557|ANGMOKIO|NORTH-EASTREGION|CHENGSAN|HDB
560534|ANGMOKIO|NORTH-EASTREGION|CHENGSAN|HDB
560536|ANGMOKIO|NORTH-EASTREGION|CHENGSAN|HDB
560541|ANGMOKIO|NORTH-EASTREGION|CHENGSAN|HDB
560542|ANGMOKIO|NORTH-EASTREGION|CHENGSAN|HDB
560550|ANGMOKIO|NORTH-EASTREGION|CHENGSAN|HDB
560561|ANGMOKIO|NORTH-EASTREGION|CHENGSAN|HDB
560406|ANGMOKIO|NORTH-EASTREGION|CHONGBOON|HDB
560214|ANGMOKIO|NORTH-EASTREGION|SHANGRI-LA|HDB
560209|ANGMOKIO|NORTH-EASTREGION|SHANGRI-LA|HDB
560210|ANGMOKIO|NORTH-EASTREGION|SHANGRI-LA|HDB
560312|ANGMOKIO|NORTH-EASTREGION|HENDERSONHILL|HDB
560314|ANGMOKIO|NORTH-EASTREGION|HENDERSONHILL|HDB
560102|ANGMOKIO|NORTH-EASTREGION|KEBUNBAHRU|HDB
560348|ANGMOKIO|NORTH-EASTREGION|HENDERSONHILL|HDB
560344|ANGMOKIO|NORTH-EASTREGION|HENDERSONHILL|HDB
560324|ANGMOKIO|NORTH-EASTREGION|HENDERSONHILL|HDB
560121|ANGMOKIO|NORTH-EASTREGION|KEBUNBAHRU|HDB
560126|ANGMOKIO|NORTH-EASTREGION|KEBUNBAHRU|HDB
560428|ANGMOKIO|NORTH-EASTREGION|CHONGBOON|HDB
560571|ANGMOKIO|NORTH-EASTREGION|CHENGSAN|HDB
560565|ANGMOKIO|NORTH-EASTREGION|CHENGSAN|HDB
560564|ANGMOKIO|NORTH-EASTREGION|CHENGSAN|HDB
560256|ANGMOKIO|NORTH-EASTREGION|SHANGRI-LA|HDB
560118|ANGMOKIO|NORTH-EASTREGION|KEBUNBAHRU|HDB
560624|ANGMOKIO|NORTH-EASTREGION|YIOCHUKANGWEST|HDB
560175|ANGMOKIO|NORTH-EASTREGION|KEBUNBAHRU|HDB
560170|ANGMOKIO|NORTH-EASTREGION|KEBUNBAHRU|HDB
560174|ANGMOKIO|NORTH-EASTREGION|KEBUNBAHRU|HDB
560157|ANGMOKIO|NORTH-EASTREGION|KEBUNBAHRU|HDB
560163|ANGMOKIO|NORTH-EASTREGION|KEBUNBAHRU|HDB
560614|ANGMOKIO|NORTH-EASTREGION|YIOCHUKANGWEST|HDB
560632|ANGMOKIO|NORTH-EASTREGION|YIOCHUKANGWEST|HDB
560502|ANGMOKIO|NORTH-EASTREGION|CHENGSAN|HDB
560649|ANGMOKIO|NORTH-EASTREGION|YIOCHUKANGWEST|HDB
560151|ANGMOKIO|NORTH-EASTREGION|KEBUNBAHRU|HDB
560154|ANGMOKIO|NORTH-EASTREGION|KEBUNBAHRU|HDB
560179|ANGMOKIO|NORTH-EASTREGION|KEBUNBAHRU|HDB
560180|ANGMOKIO|NORTH-EASTREGION|KEBUNBAHRU|HDB
560727|ANGMOKIO|NORTH-EASTREGION|ANGMOKIOTOWNCENTRE|HDB
560633|ANGMOKIO|NORTH-EASTREGION|YIOCHUKANGWEST|HDB
560506|ANGMOKIO|NORTH-EASTREGION|CHENGSAN|HDB
560504|ANGMOKIO|NORTH-EASTREGION|CHENGSAN|HDB
560509|ANGMOKIO|NORTH-EASTREGION|CHENGSAN|HDB
560508|ANGMOKIO|NORTH-EASTREGION|CHENGSAN|HDB
560622|ANGMOKIO|NORTH-EASTREGION|YIOCHUKANGWEST|HDB
562309|ANGMOKIO|NORTH-EASTREGION|HENDERSONHILL|HDB
562315|ANGMOKIO|NORTH-EASTREGION|HENDERSONHILL|HDB
560350|ANGMOKIO|NORTH-EASTREGION|HENDERSONHILL|HDB
560351|ANGMOKIO|NORTH-EASTREGION|HENDERSONHILL|HDB
560352|ANGMOKIO|NORTH-EASTREGION|HENDERSONHILL|HDB
460522|BEDOK|EASTREGION|BEDOKNORTH|HDB
460519|BEDOK|EASTREGION|BEDOKNORTH|HDB
460412|BEDOK|EASTREGION|BEDOKNORTH|HDB
460416|BEDOK|EASTREGION|BEDOKNORTH|HDB
460415|BEDOK|EASTREGION|BEDOKNORTH|HDB
460515|BEDOK|EASTREGION|BEDOKNORTH|HDB
460402|BEDOK|EASTREGION|BEDOKNORTH|HDB
