Zones,Towns,SOLD_HDB_1-Room,SOLD_HDB_2-Room,SOLD_HDB_3-Room,SOLD_HDB_4-Room,SOLD_HDB_5-Room,SOLD_HDB_executive,SOLD_HDB_studio_apt,SOLD_HDB_Total,RENT_HDB_1-Room,RENT_HDB_2-Room,RENT_HDB_3-Room,RENT_HDB_4-Room,RENT_HDB_5-Room,RENT_HDB_Total,TOTAL_UNITS
Ang Mo Kio,Ang Mo Kio,0,657,24351,14117,5947,492,275,45839,1318,2855,12,1,0,4186,50025
Bedok,Bedok,0,829,22631,20397,10390,2715,226,57188,2530,1376,6,0,0,3912,61100
Bishan,Bishan,0,9,2357,9359,5716,1660,167,19268,564,240,0,0,0,804,20072
Bukit Batok,Bukit Batok,0,7,10487,14368,5335,2733,173,33103,385,239,1,0,0,625,33728
Bukit Merah,Bukit Merah,255,1225,15929,15697,9476,44,536,43162,4476,4599,162,0,2,9239,52401
Bukit Panjang,Bukit Panjang,0,474,3678,16699,10425,3381,371,35028,223,74,0,0,0,297,35325
Bukit Timah&Tanglin,Bukit Timah,0,45,441,920,682,380,87,2555,0,0,0,0,0,0,2555
Choa Chu Kang,Choa Chu Kang,0,378,2463,23465,15950,4762,502,47520,565,813,0,0,2,1380,48900
Clementi,Clementi,0,249,12226,9050,3132,621,0,25278,474,467,7,0,0,948,26226
Geylang,Geylang,0,848,11320,9607,3591,830,216,26412,1231,2675,386,0,0,4292,30704
Hougang,Hougang,0,442,10586,25842,10844,4310,658,52682,532,624,24,0,0,1180,53862
Jurong East,Jurong East,0,317,6984,8188,5925,1871,128,23413,352,110,22,0,0,484,23897
Jurong West,Jurong West,0,663,12132,29193,21995,6507,629,71119,540,1169,682,0,0,2391,73510
Kallang&Novena,Kallang,0,702,13955,11854,5477,504,268,32760,4401,2024,9,0,0,6434,39194
Marine Parade,Marine Parade,0,26,3036,1798,1677,0,0,6537,0,1324,1,0,0,1325,7862
Pasir Ris&Changi,Pasir Ris,0,286,490,11641,9379,7460,177,29433,176,44,1,0,0,221,29654
Punggol,Punggol,0,971,3814,20406,15300,1126,435,42052,871,462,0,0,0,1333,43385
Queenstown,Queenstown,0,1554,14162,8794,3972,354,346,29182,575,1699,48,0,0,2322,31504
Sembawang,Sembawang,0,589,504,9441,8272,2870,0,21676,601,595,0,0,0,1196,22872
Sengkang,Sengkang,0,1240,3737,30619,24069,4462,778,64905,685,391,0,0,0,1076,65981
Serangoon,Serangoon,0,77,4541,10231,3754,2365,0,20968,272,247,0,0,0,519,21487
Tampines,Tampines,0,368,13224,28840,17313,5846,634,66225,1075,597,14,0,0,1686,67911
Toa Payoh,Toa Payoh,0,773,15252,10066,6017,854,286,33248,1168,2895,47,0,0,4110,37358
Woodlands,Woodlands,0,475,6476,27947,19713,6191,824,61626,1824,1046,10,96,0,2976,64602
Yishun,Yishun,0,690,15394,29657,9837,2741,814,59133,1038,724,9,0,0,1771,60904
DOWNTOWNCORE&Outram&Rochor,Central Area,0,345,4489,3463,901,6,0,9204,2075,971,52,14,0,3112,12316
