zones_name|Pop|0_to_4|10_to_14|15_to_19|20_to_24|25_to_29|30_to_34|35_to_39|40_to_44|45_to_49|50_to_54|55_to_59|5_to_9|60_to_64|65_to_69|70_to_74|75_to_79|80_to_84|85_and_over|Females|Males
ANGMOKIO|171110|6450|7860|8980|9980|11110|11180|12550|13120|12720|13740|13480|7120|13020|11730|6630|5660|3270|2510|88890|82220
BEDOK|287180|11270|13910|16480|18810|20230|18260|20360|21970|21240|22900|23470|12990|20940|18010|9490|7750|4920|4180|147440|139740
BISHAN|90120|3320|4530|5350|6520|6870|5430|5760|6770|6750|7370|7680|4130|6630|5280|2770|2330|1410|1220|46330|43790
BOONLAY|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
BUKITBATOK|138220|5150|7560|9000|9770|10650|9330|9590|10620|11090|11910|11960|6550|9950|6640|3190|2510|1520|1230|70150|68070
BUKITMERAH|154800|6980|6520|6910|7490|9380|10380|12450|12530|11190|11400|11530|7350|10980|10530|6260|6050|3660|3210|80100|74700
BUKITPANJANG|141470|7680|8170|9330|10150|11530|11040|10160|11040|10420|11570|11100|7660|8400|5810|2850|2180|1340|1040|71300|70170
BUKITTIMAH|75780|3230|4730|4860|4870|4600|3820|4850|6550|6540|5860|5370|4690|4770|4140|2490|2040|1290|1080|40600|35180
CENTRALWATERCATCHMENT|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
CHANGI|2500|170|200|180|130|110|160|230|270|220|140|120|230|100|90|50|40|30|30|1200|1300
CHANGIBAY|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
CHOACHUKANG|179290|7640|10870|14500|15890|13390|11760|12310|13460|15490|16910|13580|9230|9690|6350|3070|2470|1530|1150|89910|89380
CLEMENTI|91630|3940|4330|4710|4770|5740|6380|7220|7540|6940|7050|6380|4400|6620|6570|3370|2840|1580|1250|47950|43680
DOWNTOWNCORE|3510|120|90|100|120|210|340|330|350|300|280|260|90|220|260|130|130|60|120|1850|1660
GEYLANG|115910|4540|5060|6060|7200|8360|8010|8520|8950|8430|9290|9550|5090|8430|6920|3800|3520|2280|1900|58490|57420
HOUGANG|223000|8560|11040|14010|16290|17390|15100|14880|16320|16550|19250|19570|9640|15980|11720|6160|4960|3120|2460|113410|109590
JURONGEAST|84680|3300|4240|4940|5510|6620|6070|6090|6350|6190|6580|6990|3780|6490|5230|2440|1910|1090|860|42600|42080
JURONGWEST|270390|13070|16120|17700|18780|19950|20910|23040|22580|21310|20900|19050|15260|16710|11930|5390|3990|2190|1510|134190|136200
KALLANG|100270|4200|4320|4690|5020|6080|6830|8000|8450|7790|7700|7860|4310|7170|6480|3720|3610|2150|1890|50440|49830
LIMCHUKANG|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
MANDAI|2150|90|140|170|160|150|140|160|190|190|160|160|120|90|90|60|40|20|20|1140|1010
MARINAEAST|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
MARINASOUTH|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
MARINEPARADE|48420|2160|2630|2550|2600|2630|2770|3750|4410|3920|3600|3320|2640|2960|2840|1810|1730|1110|990|25660|22760
MUSEUM|400|40|0|10|10|10|50|70|60|40|30|40|30|10|0|0|0|0|0|210|190
NEWTON|7240|360|370|330|360|340|410|570|730|710|600|490|490|450|420|200|170|110|130|3910|3330
NORTH-EASTERNISLANDS|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
NOVENA|47770|2190|2440|2480|2500|2770|2860|3810|4410|3950|3710|3340|2780|2950|2590|1580|1450|1010|950|24650|23120
ORCHARD|870|40|30|40|20|50|50|70|80|80|60|80|50|70|60|40|30|10|10|450|420
OUTRAM|21490|1180|730|700|800|1140|1450|1960|1720|1420|1560|1590|1060|1610|1530|930|910|570|630|10700|10790
PASIRRIS|143020|5870|8450|11830|13890|10230|8080|9230|10450|12300|14610|11280|6960|7650|5120|2450|2060|1390|1170|72350|70670
PAYALEBAR|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
PIONEER|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
PUNGGOL|130460|14490|7470|5590|4490|7850|18000|16270|12600|7980|6620|5430|10880|4600|3770|1780|1330|740|570|66000|64460
QUEENSTOWN|99640|4790|4260|4740|5100|6370|7500|7770|8100|7590|7580|6800|4480|6240|6160|3780|3920|2560|1900|52510|47130
RIVERVALLEY|9320|440|520|410|460|490|610|890|1030|920|750|590|510|510|500|270|200|100|120|4980|4340
ROCHOR|14430|540|560|630|650|880|970|1230|1250|1080|1120|1090|540|1030|960|560|540|380|420|7140|7290
SELETAR|220|0|10|20|10|0|10|20|40|20|30|20|20|20|0|0|0|0|0|120|100
SEMBAWANG|77290|4390|5340|5060|4570|5160|6020|7080|7600|6280|5840|5150|5220|3670|2430|1300|1040|640|500|39030|38260
SENGKANG|219480|16650|13260|12670|11370|14890|21960|22220|20240|15830|14350|13380|15700|10250|7450|3610|2730|1580|1340|111500|107980
SERANGOON|120100|4040|5720|7520|8760|9410|7300|7390|8260|8630|9720|10710|4960|9490|7410|3800|3180|2020|1780|62080|58020
SIMPANG|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
SINGAPORERIVER|2860|240|130|90|100|100|240|410|390|300|210|150|180|90|100|60|30|10|30|1470|1390
SOUTHERNISLANDS|1620|110|100|100|80|70|80|120|160|220|190|130|90|80|50|20|20|0|0|810|810
STRAITSVIEW|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
SUNGEIKADUT|760|20|30|40|40|50|40|40|40|60|50|50|30|40|70|30|50|40|40|400|360
TAMPINES|259140|11340|12940|17060|20730|21110|18100|18000|17730|18880|22130|22670|11750|18490|12620|5740|4580|2880|2390|132030|127110
TANGLIN|19700|1030|1090|1040|980|930|1140|1650|1960|1900|1610|1310|1340|1150|1030|580|420|260|280|10560|9140
TENGAH|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
TOAPAYOH|122960|4810|5500|6250|7130|7720|7770|8720|9690|9330|9530|9870|5470|8530|7700|4820|4800|2890|2430|64180|58780
TUAS|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
WESTERNISLANDS|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
WESTERNWATERCATCHMENT|820|40|40|40|80|50|50|80|80|60|70|60|50|50|10|10|20|10|20|450|370
WOODLANDS|249740|11840|16020|20640|20440|18400|17620|18460|20020|21760|21540|17510|13740|12680|8290|4100|3350|1980|1350|124240|125500
YISHUN|205990|10940|10290|12040|14250|17210|17450|15810|15340|14670|17210|16550|10080|13120|9310|4520|3570|2090|1540|104070|101920
