Zones|TotalC|MalesC|FemalesC|TotalM|MalesM|FemalesM|TotalI|MalesI|FemalesI|TotalOTH|MalesOTH|FemalesOTH
ANGMOKIO|143290.0|68860.0|74430.0|13060.0|6430.0|6640.0|14150.0|7050.0|7100.0|4270.0|1890.0|2390.0
BEDOK|208880.0|101010.0|107870.0|43980.0|21640.0|22340.0|25110.0|12880.0|12230.0|11780.0|5690.0|6090.0
BISHAN|77220.0|37480.0|39740.0|3760.0|1790.0|1970.0|7000.0|3530.0|3470.0|2720.0|1320.0|1400.0
BOONLAY||||||||||||
BUKITBATOK|102080.0|50040.0|52040.0|19570.0|9690.0|9880.0|13730.0|7050.0|6670.0|3900.0|1870.0|2030.0
BUKITMERAH|122610.0|58870.0|63740.0|13400.0|6730.0|6670.0|15120.0|7720.0|7400.0|4710.0|2130.0|2570.0
BUKITPANJANG|103280.0|51200.0|52080.0|22230.0|11210.0|11020.0|10300.0|5260.0|5040.0|3210.0|1480.0|1730.0
BUKITTIMAH|64150.0|29740.0|34410.0|760.0|310.0|460.0|3650.0|1760.0|1900.0|5910.0|2860.0|3050.0
CENTRALWATERCATCHMENT||||||||||||
CHANGI|1200.0|580.0|620.0|720.0|390.0|330.0|470.0|250.0|220.0|140.0|80.0|60.0
CHANGIBAY||||||||||||
CHOACHUKANG|123450.0|61380.0|62070.0|29630.0|14930.0|14690.0|16470.0|8370.0|8100.0|4790.0|2310.0|2480.0
CLEMENTI|70700.0|33530.0|37170.0|9950.0|4930.0|5010.0|7600.0|3820.0|3780.0|3390.0|1590.0|1800.0
DOWNTOWNCORE|2970.0|1440.0|1530.0|40.0|10.0|20.0|320.0|180.0|140.0|390.0|230.0|160.0
GEYLANG|88060.0|43550.0|44510.0|15280.0|7550.0|7730.0|9900.0|5220.0|4690.0|3730.0|1780.0|1950.0
HOUGANG|181700.0|89240.0|92460.0|17650.0|8810.0|8840.0|18040.0|9310.0|8720.0|4930.0|2200.0|2720.0
JURONGEAST|60130.0|29770.0|30360.0|13740.0|6800.0|6940.0|9150.0|4800.0|4350.0|1970.0|910.0|1060.0
JURONGWEST|190240.0|95510.0|94740.0|48630.0|24480.0|24150.0|27090.0|14420.0|12670.0|6710.0|3160.0|3550.0
KALLANG|75800.0|37400.0|38390.0|7980.0|4040.0|3940.0|14460.0|7570.0|6890.0|2970.0|1390.0|1580.0
LIMCHUKANG||||||||||||
MANDAI|1710.0|810.0|900.0|110.0|40.0|60.0|240.0|120.0|120.0|70.0|30.0|40.0
MARINAEAST||||||||||||
MARINASOUTH||||||||||||
MARINEPARADE|36620.0|17070.0|19550.0|3510.0|1690.0|1820.0|6010.0|2930.0|3080.0|2590.0|1280.0|1310.0
MUSEUM|220.0|100.0|120.0||||40.0|30.0|20.0|110.0|60.0|50.0
NEWTON|4870.0|2200.0|2670.0|60.0|20.0|40.0|780.0|390.0|390.0|1210.0|630.0|580.0
NORTHEASTERNISLANDS||||||||||||
NOVENA|38840.0|18640.0|20200.0|2110.0|1030.0|1080.0|4210.0|2150.0|2060.0|2830.0|1340.0|1480.0
ORCHARD|620.0|270.0|350.0|10.0|10.0|10.0|70.0|30.0|40.0|220.0|120.0|100.0
OUTRAM|18020.0|8960.0|9060.0|1930.0|990.0|950.0|1590.0|880.0|710.0|540.0|270.0|270.0
PASIRRIS|93910.0|46160.0|47750.0|28420.0|14120.0|14310.0|11920.0|6160.0|5760.0|5640.0|2720.0|2920.0
PAYALEBAR||||||||||||
PIONEER||||||||||||
PUNGGOL|84890.0|41890.0|43010.0|14480.0|7090.0|7390.0|7720.0|3960.0|3760.0|2670.0|1170.0|1500.0
QUEENSTOWN|77390.0|36100.0|41290.0|8720.0|4230.0|4490.0|8000.0|4040.0|3950.0|3950.0|1850.0|2100.0
RIVERVALLEY|6440.0|2940.0|3510.0|90.0|30.0|60.0|1270.0|590.0|680.0|1400.0|710.0|690.0
ROCHOR|10470.0|5100.0|5370.0|640.0|300.0|330.0|2960.0|1720.0|1240.0|530.0|290.0|240.0
SELETAR|170.0|80.0|90.0||||40.0|20.0|20.0|60.0|30.0|30.0
SEMBAWANG|55690.0|27450.0|28240.0|10320.0|5060.0|5260.0|7190.0|3750.0|3430.0|3330.0|1640.0|1690.0
SENGKANG|160590.0|79070.0|81520.0|22580.0|11120.0|11460.0|18200.0|9230.0|8970.0|5310.0|2380.0|2930.0
SERANGOON|101460.0|48880.0|52580.0|5170.0|2580.0|2590.0|10740.0|5370.0|5370.0|3310.0|1560.0|1750.0
SIMPANG||||||||||||
SINGAPORERIVER|1870.0|840.0|1030.0|10.0|10.0|10.0|220.0|120.0|100.0|620.0|350.0|270.0
SOUTHERNISLANDS|810.0|360.0|440.0|20.0|10.0|20.0|150.0|70.0|70.0|500.0|280.0|220.0
STRAITSVIEW||||||||||||
SUNGEIKADUT|710.0|360.0|350.0||||110.0|60.0|50.0|30.0|10.0|20.0
TAMPINES|175470.0|85610.0|89860.0|56010.0|27770.0|28240.0|21560.0|11010.0|10550.0|8200.0|3820.0|4380.0
TANGLIN|14160.0|6410.0|7750.0|190.0|80.0|110.0|1930.0|920.0|1010.0|2720.0|1360.0|1360.0
TENGAH||||||||||||
TOAPAYOH|102230.0|48620.0|53610.0|9920.0|4910.0|5010.0|9290.0|4710.0|4570.0|3510.0|1600.0|1920.0
TUAS||||||||||||
WESTERNISLANDS||||||||||||
WESTERNWATERCATCHMENT|730.0|320.0|410.0||||90.0|40.0|50.0|70.0|30.0|40.0
WOODLANDS|153780.0|77070.0|76710.0|62310.0|31360.0|30960.0|27810.0|14480.0|13330.0|6380.0|3000.0|3380.0
YISHUN|142300.0|70230.0|72060.0|33940.0|16950.0|16990.0|20230.0|10310.0|9920.0|5510.0|2500.0|3010.0
