zones,Total,No Family Nucleus,One nucleus_One Generation,One nucleus_Two Generations,One nucleus_Three or More Generations,Two or More Family Nuclei
Ang Mo Kio,62.6,14.2,9.1,32.9,3,3.4
Bedok,92.2,17.8,13.1,50.2,6.1,5
Bishan,27.8,4,3.5,16.9,2.2,1.2
Bukit Batok,44,7.4,5.3,26.3,2.8,2.3
Bukit Merah,55.2,15.3,9.4,25.6,2.5,2.3
Bukit Panjang,41.2,4.2,5.3,26.3,2.9,2.6
Bukit Timah,23.9,3.1,3.8,14.5,0.9,1.5
Changi,0.778,0.204,0.122,0.367,0.053,0.032
Choa Chu Kang,49.3,4.5,5,32.2,3.9,3.6
Clementi,30.1,7,4.8,15.5,1.5,1.3
Downtown Core,1.429,0.533,0.181,0.577,0.63,0.075
Geylang,37.5,9.7,5.3,18.9,2,1.6
Hougang,64.3,8.5,7.5,40.6,3.4,4.3
Jurong East,25.5,4.6,3.2,14.5,1.6,1.6
Jurong West,81.6,9.5,10.3,50.9,4.7,6.2
Kallang,36.5,10.7,5.5,17.5,1.3,1.5
Mandai,0.489,0.092,0.055,0.269,0.047,0.026
Marine Parade,15.2,3.2,2.7,7.8,0.6,0.9
Newton,2.175,0.691,0.397,0.99,0.071,0.026
Novena,15.7,3.1,2.5,8.9,0.7,0.5
Outram,8.4,3.3,1.3,3.4,0.2,0.2
Pasir Ris,40.6,4.2,4.7,25.9,3.3,2.6
Punggol,33.2,2.5,5.9,21.2,1.8,1.8
Queenstown,35.5,10.6,4.8,17.1,1.7,1.3
River Valley,2.748,0.859,0.316,1.324,0.152,0.098
Rochor,5.257,1.568,0.741,2.352,0.235,0.361
Sembawang,23.1,1.8,3.1,15.4,1.3,1.5
Sengkang,64.6,4.2,10.4,42,4.1,3.8
Serangoon,39,6.1,4.5,23.3,2.4,2.7
Singapore River,0.798,0.426,0.15,0.199,0.008,0.014
Tampines,79.9,11.7,9.6,48.2,4.7,5.6
Tanglin,7,1.6,1.4,3.4,0.3,0.2
Toa Payoh,43.1,11.1,7.1,21,2.1,1.8
Woodlands,70.4,8.7,9.5,42,4.7,5.5
Yishun,62.9,9.8,9.2,35.3,3.8,4.7
Others,14.9,4.5,2.6,6.9,0.4,0.5
