zones,price_psqm_mean,price_psqm_median
ANGMOKIO,5069,5000
BEDOK,4852,4776
BISHAN,5624,5630
BUKITBATOK,4473,4420
BUKITMERAH,6410,6121
BUKITPANJANG,4183,4109
BUKITTIMAH,6288,6345
CHANGI,4564,4545
CHOACHUKANG,3861,3850
CLEMENTI,5395,5311
DOWNTOWNCORE,6870,6363
GEYLANG,5259,5098
HOUGANG,4461,4422
JURONGEAST,4554,4558
JURONGWEST,4237,4253
KALLANG,5917,5661
MARINEPARADE,6379,6323
NOVENA,5257,5075
OUTRAM,7963,8083
PASIRRIS,4099,4071
PUNGGOL,4716,4727
QUEENSTOWN,6531,6346
ROCHOR,6181,5970
SEMBAWANG,4097,4084
SENGKANG,4648,4549
SERANGOON,5021,5000
TAMPINES,4572,4523
TANGLIN,6588,6428
TOAPAYOH,5460,5209
WOODLANDS,3940,3916
YISHUN,4232,4215
