zones,Total,NoWorkingPerson,Below1000,1000-1999,2000-2999,3000-3999,4000-4999,5000-5999,6000-6999,7000-7999,8000-8999,9000-9999,10000&Over
AngMoKio,59705,8467,3136,5549,6055,5236,4565,3959,3357,2911,2442,1891,12137
Bedok,91224,11143,3782,6857,7476,7362,6596,5825,5444,4352,3807,3298,25281
Bishan,27457,2855,595,1166,1390,1717,1616,1594,1684,1622,1380,1573,10264
BukitBatok,44133,3452,1136,2849,3486,3723,3537,3264,3024,2480,2172,1922,13088
BukitMerah,55627,10311,4142,5324,4495,3767,3679,3602,2918,2553,2342,1809,10685
BukitPanjang,36339,2260,846,2324,3092,3261,3250,3069,2618,2453,2223,1623,9320
BukitTimah,20658,2612,344,340,528,569,761,602,625,467,610,561,12639
Changi,778,31,25,37,59,84,139,94,60,21,42,38,147
ChoaChuKang,47912,2356,846,2463,3491,4099,4213,3911,3926,3583,3288,2839,12899
Clementi,30792,4321,1239,2098,2488,2319,2074,2251,1859,1520,1155,1124,8344
DowntownCore,1429,198,40,112,110,98,85,103,110,95,84,47,346
Geylang,40285,6097,2425,3980,3774,3563,3103,2760,2352,1781,1424,1146,7881
Hougang,62285,5058,1749,4899,5714,5905,5223,5084,4501,3487,3118,2697,14850
JurongEast,26292,2470,814,1639,2303,2350,2277,2166,1824,1663,1449,1195,6143
JurongWest,78083,5400,2157,5174,7286,8217,7557,6606,6526,5553,4520,3653,15434
Kallang,35474,6429,2588,3460,2957,2721,2356,2021,1726,1550,1337,1213,7117
Mandai,489,74,0,19,0,13,0,32,13,31,53,6,248
MarineParade,15498,3029,525,813,906,910,728,692,677,449,694,403,5671
Newton,2175,441,28,34,59,72,71,77,102,51,64,25,1152
Novena,15207,2194,559,1138,1009,1046,815,784,667,636,533,423,5404
Outram,7388,2009,1076,928,557,513,407,312,293,180,154,98,861
PasirRis,36057,1694,449,1416,1992,2667,2832,2931,2971,2567,2350,1825,12364
Punggol,18043,806,175,690,1090,1371,1527,1579,1674,1339,1348,1030,5415
Queenstown,34365,6642,1753,2832,2733,2601,2061,2174,1789,1525,1330,1068,7856
RiverValley,2748,387,6,26,131,96,117,74,77,92,66,57,1618
Rochor,5257,888,253,378,429,512,464,386,273,252,203,203,1012
Sembawang,20613,829,317,839,1547,1795,1996,2072,1885,1525,1390,1047,5370
Sengkang,47787,1800,558,2333,3488,4025,4005,4421,4026,3831,3428,2832,13040
Serangoon,35986,3669,863,1853,2299,2448,2626,2533,2152,1690,1822,1548,12484
SingaporeRiver,798,117,19,0,9,25,24,37,29,19,34,12,472
Tampines,73591,5294,1812,4646,5922,6302,6235,6142,5625,5011,4418,3729,18454
Tanglin,5588,737,84,63,122,138,155,165,129,121,214,114,3546
ToaPayoh,42977,7132,2894,3914,3850,3425,3052,2501,2254,2056,1924,1518,8456
Woodlands,68279,4249,1779,5266,6722,6898,7096,6192,5640,4566,4242,3162,12467
Yishun,53576,4367,1534,4817,5820,5294,5295,4745,3850,3267,2738,2229,9620
Others,1025,193,17,19,6,49,28,46,24,14,36,13,579
