zones,Total,1 Person,2 Persons,3 Persons,4 Persons,5 Persons,6 or More Persons
Ang Mo Kio,62.6,10.4,15,13.3,12,6.7,5.2
Bedok,92.2,12.6,20.3,18.8,19.2,12.6,8.9
Bishan,27.8,2.7,5.4,6.3,6.3,4.9,2.3
Bukit Batok,44,5.2,8.6,10.3,10.6,5.9,3.6
Bukit Merah,55.2,11.1,15.8,9.6,10.1,5.4,3.1
Bukit Panjang,41.2,3,7.2,9.1,10.8,6.8,4.3
Bukit Timah,23.9,2.4,3.6,4.9,4.7,4.6,3.8
Changi,778,175,129,124,187,103,0.06
Choa Chu Kang,49.3,2.8,7.5,10.8,13.8,9,5.4
Clementi,30.1,5.2,7.9,6.4,5.6,3.1,1.9
Downtown Core,1.429,0.413,0.33,0.257,0.27,0.069,0.089
Geylang,37.5,6.5,8.7,8.3,7.5,3.4,3.1
Hougang,64.3,5.8,12.1,14.6,16,9.4,6.3
Jurong East,25.5,3.3,4.9,5.5,6.2,3.2,2.5
Jurong West,81.6,6.9,14,16.4,23,12,9.3
Kallang,36.5,8.1,9.2,7,6.2,3.6,2.3
Mandai,0.489,0.066,0.048,0.107,0.106,0.077,0.084
Marine Parade,15.2,2.2,4.3,2.6,3.1,1.9,1
Newton,2.175,0.442,0.485,0.352,0.349,0.358,0.189
Novena,15.7,2.1,3.7,3.7,3.1,1.6,1.5
Outram,8.4,2.1,2.6,1.5,1.4,0.5,0.3
Pasir Ris,40.6,2.9,6.8,7.9,10.9,6.4,5.8
Punggol,33.2,1.8,7.4,8.9,9,3.7,2.3
Queenstown,35.5,7.5,9.6,7.2,5.9,3.3,2.1
River Valley,2.748,0.591,0.494,0.408,0.491,0.423,0.341
Rochor,5.257,1.149,1.245,1.097,0.924,0.439,0.402
Sembawang,23.1,1.4,4.3,5.1,6.3,3.2,2.8
Sengkang,64.6,3,13.4,14.5,17.4,10.1,6.3
Serangoon,39,4,8.1,7.7,8.9,5.6,4.8
Singapore River,0.798,0.387,0.163,0.088,0.112,0.027,0.021
Tampines,79.9,8.1,15,16.8,20.6,10.3,9
Tanglin,7,1.2,1.3,1.3,1.4,1.1,0.7
Toa Payoh,43.1,7.5,11.6,9.2,7.4,4.4,3
Woodlands,70.4,5.9,13.3,12.9,18,11.2,9.1
Yishun,62.9,7.1,13.9,13.6,14.3,8.3,5.7
Others,14.9,3.1,3.6,2.2,2.8,1.9,1.3
