Planning Area,Total,Up to 15 mins,16 - 30 mins,31 - 45 mins,46 - 60 mins,More than 60 mins
Ang Mo Kio,98.1,16.2,32.4,23.6,18.1,7.7
Bedok,146.1,23.7,56.8,30.4,26.2,9.1
Bishan,47.6,5.8,19.2,12.7,7.9,2
Bukit Batok,73.7,9.2,25.7,16.2,16,6.7
Bukit Merah,80.5,16.8,37.1,12.1,10.4,4.1
Bukit Panjang,79.1,6.3,25.1,17.5,20.4,9.8
Bukit Timah,34.5,5.2,16.5,6.1,4.9,1.8
Changi,1.158,0.684,0.219,0.118,0.074,0.064
Choa Chu Kang,95.2,8.3,26.5,20.5,27.1,12.7
Clementi,44.6,6.5,18.8,10.2,6.9,2.2
Downtown Core,1.877,0.876,0.709,0.155,0.125,0.013
Geylang,59,12.4,23.3,12.2,8,3.1
Hougang,117.5,16.5,37.8,30.4,24.6,8.2
Jurong East,45,6.5,14.9,11.2,9.2,3.2
Jurong West,155,23.1,52.3,30.6,34.7,14.3
Kallang,53.7,11.1,25,9.1,6.3,2.2
Mandai,0.789,0.146,0.302,0.153,0.135,0.052
Marine Parade,20.8,4,9,3.5,3.3,1
Newton,2.501,1.053,1.171,0.185,0.084,0.009
Novena,22.9,4.5,10.9,3.2,3.2,0.9
Outram,11.5,3.8,4.4,1.3,1.6,0.4
Pasir Ris,75.3,11,24,15,15.9,9.5
Punggol,59,5.2,15.7,15.8,17.7,4.5
Queenstown,47.4,7.9,22.3,9,6.2,2
River Valley,3.717,1.552,1.596,0.33,0.185,0.054
Rochor,7.397,2.579,2.95,0.903,0.738,0.227
Sembawang,46.2,5.1,10.8,9.5,14.2,6.6
Sengkang,121.7,11.3,34.9,33.6,32.5,9.4
Serangoon,65.3,8.2,26.1,16,11.2,3.8
Singapore River,0.817,0.458,0.296,0.055,0,0.008
Tampines,149.7,22.2,49.3,32.5,30,15.7
Tanglin,8.5,3,3.9,1,0.5,0.1
Toa Payoh,66.6,11.1,26.9,17.4,8.5,2.7
Woodlands,132.1,17.2,34.3,24.1,35.5,21
Yishun,116.6,15.2,29.7,27,30.3,14.5
Others,20.1,6.5,8.9,2.6,1.5,0.5
