Planning Area,Total,Up to 15 mins,16 - 30 mins,31 - 45 mins,46 - 60 mins,More than 60 mins
Total,759.6,289.4,221.5,97,96,55.7
Ang Mo Kio,31.7,13.7,9.3,3.2,3.5,2
Bedok,54,19.2,16.9,7.1,5.6,5.3
Bishan,17.3,4.8,6.7,2.8,1.8,1.2
Bukit Batok,28.9,9.3,9.3,4.8,4,1.5
Bukit Merah,23.5,9.6,6.7,2.7,3,1.6
Bukit Panjang,30.8,11.7,9.2,4.2,4,1.6
Bukit Timah,15.1,5.6,6.7,1.7,0.8,0.3
Changi,0.529,0.124,0.27,0.057,0.053,0.025
Choa Chu Kang,41.3,14.4,11.1,6.8,6.7,2.4
Clementi,13.5,5.8,5.2,1.4,0.9,0.2
Downtown Core,0.435,0.122,0.187,0.041,0.072,0.014
Geylang,18.2,6.2,5.5,2.7,2.7,1.1
Hougang,43.3,14.9,12,5.4,7.1,4
Jurong East,14.9,5.4,5.2,1.7,2,0.6
Jurong West,60.5,26,16.6,7.4,7.8,2.7
Kallang,15.1,5,5.5,2.4,1.6,0.6
Mandai,0.323,0.093,0.105,0.049,0.05,0.026
Marine Parade,7.1,3,2.1,0.6,0.9,0.4
Newton,1.09,0.458,0.429,0.157,0.047,0
Novena,7.9,3.3,2.4,0.8,1.2,0.1
Outram,2.8,1.2,0.8,0.4,0.4,0
Pasir Ris,35,12,8.1,4.6,5.2,5
Punggol,19.4,9,4.6,2.4,2.1,1.3
Queenstown,14.7,5.7,5.1,2.2,1.3,0.5
River Valley,1.548,0.658,0.52,0.246,0.103,0.02
Rochor,2.103,0.71,0.794,0.277,0.208,0.113
Sembawang,18,7.7,3.8,2,2.3,2.2
Sengkang,49.6,21.8,12.3,5.8,6.6,3
Serangoon,22.2,7.7,7,2.9,3,1.6
Singapore River,0.208,0.118,0.06,0.029,0,0
Tampines,52.1,18.3,15,5.2,6.3,7.3
Tanglin,3.3,1.4,1.5,0.3,0,0.1
Toa Payoh,20.6,6.6,6.6,3.7,2.6,1.2
Woodlands,56.3,22.6,15.3,7,7.3,4.1
Yishun,36.4,14.8,9.1,4.3,4.6,3.6
Others,6.2,2.7,1.9,0.8,0.6,0.2
