zones,Total,Manufacture,Construction,Total_services,Wholesale & Retail Trade,Transportation & Storage,Accommodation & Food Services,Information & Communications,Financial & Insurance Services,Real Estate Services,Professional Services,Administrative & Support Services,Public Administration & Education,Health & Social Services,"Arts, Entertainment & Recreation","Other Community, Social & Personal Services",Others
Ang Mo Kio,101.2,10.2,5.6,84.6,17,6.8,9.6,3.8,7.3,2.5,6.9,6.3,12.7,5.2,2,4.4,0.9
Bedok,150.3,13.6,6,129.3,26.6,14.4,9.9,6.6,14.1,4.2,14.3,8,18.2,6.7,1.7,4.6,1.3
Bishan,49.5,4.8,1.8,42.5,8,2.5,2.9,2.2,4.7,0.9,5.9,2.1,8.2,3.2,0.7,1.2,0.4
Bukit Batok,75.6,9.1,4.7,60.8,12.3,6.1,4.2,3.1,4.2,1.9,7.2,4.3,10.9,3.3,1.2,2.1,1
Bukit Merah,82.2,5.4,2.7,73.5,14.5,7.2,7.4,3.6,7.7,2.6,5.4,6.5,9.3,4.7,1.9,2.8,0.6
Bukit Panjang,80.1,10.8,4.3,63.7,14.4,7.5,4.2,2.4,4.6,1.9,4.5,4.3,12.2,4,1.3,2.3,1.3
Bukit Timah,36.8,3.3,0.8,32.5,6.4,1.5,0.8,1.4,4.9,1,4.4,0.7,6.8,3.5,0.5,0.6,0.2
Changi,1.18,0.045,0.013,1.115,0.155,0.115,0.072,0,0.015,0.012,0.019,0.06,0.628,0.025,0,0.014,0.007
Choa Chu Kang,97.2,14.6,5.5,75.4,16.4,8.1,4.9,3.2,5.3,2.3,7.7,4.3,13.8,5.2,1.3,2.9,1.7
Clementi,45.9,4.1,2,39.4,7.4,3.5,2.8,2,3.7,1.2,4.7,2.7,7.4,2.3,0.5,1.4,0.5
Downtown Core,1.97,0.109,0.033,1.828,0.383,0.16,0.138,0.137,0.272,0.088,0.218,0.085,0.191,0.043,0.06,0.052,0
Geylang,61.4,5.6,4.1,51.3,9.5,4.9,5.4,2.7,5.1,2.3,4.4,3.7,7.3,2.7,1.2,1.9,0.5
Hougang,120.8,12.3,7.5,100,22.6,10.2,8.3,3.8,8.7,3.1,9.1,5.3,17.4,5.4,2.2,4,1.1
Jurong East,46.1,6.6,2.1,36.7,6.9,4.1,2.6,0.9,2.7,1.2,3.6,2.6,6.4,2.5,1.1,2.1,0.7
Jurong West,158.7,29.8,10.3,116.1,28,15.1,8.2,4.4,7.5,2.9,11,7.3,18.9,5.3,2.7,4.8,2.5
Kallang,55.4,4.1,2.7,48.1,10.7,2.9,4.8,2.5,5.2,2.1,4.7,3.9,5,2.9,1.8,1.5,0.6
Mandai,0.801,0.161,0.025,0.609,0.163,0.038,0.019,0.046,0.059,0.006,0.025,0.056,0.158,0.019,0,0.02,0.007
Marine Parade,21.5,1.7,0.7,19,3.8,1.2,1.5,1.2,3.2,0.5,1.6,1,2.7,1.5,0.3,0.5,0
Newton,2.677,0.232,0.061,2.361,0.388,0.088,0.112,0.149,0.571,0.149,0.366,0.091,0.217,0.144,0.023,0.062,0.023
Novena,23.8,1.3,1.2,21.2,3,1.2,1.6,1.4,3.1,0.9,2.4,0.8,3.7,1.3,0.8,1,0.2
Outram,11.7,0.7,0.2,10.8,2,1,1.3,0.6,1.4,0.4,0.9,1,1,0.6,0.1,0.4,0
Pasir Ris,78,8.7,3.6,65.2,12.1,10.9,3.5,3,6.2,1.8,5.5,3.2,12.5,3.2,1,2.3,0.6
Punggol,60.4,6.5,2.7,50.5,10.1,6.1,2.8,3.1,5.1,1.4,5.4,2.2,8.6,2.5,1.1,2.3,0.7
Queenstown,49.2,3.3,1.5,43.9,7.2,5.4,4.2,2.2,4.6,1.6,4.6,2.8,7.2,2.1,0.6,1.5,0.5
River Valley,3.956,0.213,0.092,3.636,0.624,0.175,0.158,0.161,0.833,0.134,0.596,0.11,0.477,0.255,0.051,0.063,0.014
Rochor,7.69,0.634,0.32,6.659,1.76,0.486,0.918,0.302,0.593,0.204,0.557,0.421,0.698,0.293,0.13,0.297,0.077
Sengkang,124.3,12.7,6,104.1,21.7,12.1,7.7,6,11.1,2.6,9.1,4.8,17.3,5.8,2.7,3.1,1.4
Serangoon,68.2,5.5,3.3,58.7,12,4.9,3.4,2.9,6.4,1.9,6,2.8,10.9,4.2,0.9,2.4,0.7
Singapore River,0.9,0.06,0,0.817,0.184,0.006,0.026,0.076,0.22,0.051,0.139,0.012,0.061,0.026,0.014,0,0.023
Tampines,152.8,14.6,6.6,130.1,23.8,18.8,9.2,7.8,12.8,4.2,9.3,8.4,22.4,7,2.8,3.7,1.5
Tanglin,9,0.9,0,8.1,1.7,0,0.4,0.2,1.9,0.3,1.2,0.2,1.1,0.8,0.1,0.1,0
Toa Payoh,68.9,5.8,3.2,59.5,11.5,5,6.3,2.9,5.9,2,5.7,4.5,8.2,3.4,1.2,2.9,0.4
Woodlands,134.8,22.3,9.6,101.1,20.9,11.3,8.5,3.7,7.1,3,8.9,7.4,17,6.6,2.2,4.7,1.7
Yishun,119.3,13.1,8.1,96.5,21.6,10.7,9,3.3,6.1,3.1,7.5,6.9,15.7,6.9,1.8,4,1.5
Others,21.5,1.2,0.9,19.1,4,0.9,1.6,0.9,3.9,0.9,2.4,1,2.3,0.4,0.4,0.4,0.3
