ticker,market_cap,market_weight
CBA,129933000000,9.17
BHP,102035000000,7.20
WBC,100298000000,7.08
ANZ,87771000000,6.20
NAB,76360900000,5.39
TLS,69319500000,4.89
WES,47600300000,3.36
WOW,40094600000,2.83
CSL,37327400000,2.64
WPL,32008900000,2.26
RIO,24572400000,1.74
MQG,18816100000,1.33
SUN,18539900000,1.31
SCG,18262300000,1.29
WFD,16562400000,1.17
AMP,16415400000,1.16
TCL,15489400000,1.09
BXB,15222300000,1.07
QBE,14823300000,1.05
IAG,14799000000,1.04
ORG,14669600000,1.04
AMC,14347500000,1.01
OSH,12866800000,0.91
STO,11659600000,0.82
RHC,10560800000,0.75
CWN,10190200000,0.72
AZJ,9927690000,0.70
SYD,9695940000,0.68
SGP,9571140000,0.68
GMG,9565120000,0.68
AGK,8866370000,0.63
LLC,8827260000,0.62
RMD,8427060000,0.60
CTX,8351100000,0.59
FMG,8329410000,0.59
NCM,7389170000,0.52
SHL,6968740000,0.49
ASX,6884240000,0.49
GPT,6859830000,0.48
CCL,6849400000,0.48
ORI,6836110000,0.48
LEI,6770070000,0.48
DXSDA,6574060000,0.46
APA,6548110000,0.46
MGR,6403550000,0.45
NVN,6298980000,0.44
CPU,6290660000,0.44
TPM,6072630000,0.43
SEK,5891590000,0.42
REA,5869210000,0.41
AIO,5754780000,0.41
BEN,5640810000,0.40
JHX,5454890000,0.39
SPK,5375870000,0.38
FBU,5262090000,0.37
TTS,4930040000,0.35
AWC,4818290000,0.34
IPL,4749840000,0.34
AST,4562430000,0.32
BOQ,4444590000,0.31
HSO,4312920000,0.30
ALL,4252650000,0.30
FLT,3973100000,0.28
COH,3969470000,0.28
HVN,3941200000,0.28
FDCDA,3911740000,0.28
BLD,3886290000,0.27
QAN,3876520000,0.27
TOL,3841880000,0.27
PTM,3800010000,0.27
CGF,3788680000,0.27
DUE,3246270000,0.23
TAH,3162140000,0.22
EGP,3137560000,0.22
ANN,3085770000,0.22
HGG,3061780000,0.22
TWE,3034880000,0.21
WOR,2994690000,0.21
ILU,2830420000,0.20
SKI,2811010000,0.20
IFL,2701200000,0.19
BSL,2678700000,0.19
CRZ,2516140000,0.18
MTS,2452490000,0.17
QUB,2351370000,0.17
MFG,2312580000,0.16
PRY,2309710000,0.16
SKT,2278410000,0.16
GMA,2216500000,0.16
DLX,2203230000,0.16
ABC,2200870000,0.16
PPT,2192260000,0.15
SKC,2173650000,0.15
DMP,2154020000,0.15
IOF,2124600000,0.15
ORA,2117730000,0.15
SPO,2114210000,0.15
SGM,2093400000,0.15
VED,1970410000,0.14
NEC,1899400000,0.13
REC,1897690000,0.13
NVT,1891470000,0.13
DOW,1880930000,0.13
GNC,1866320000,0.13
ALQ,1802010000,0.13
FXJ,1775730000,0.13
SVW,1766770000,0.12
CSR,1727990000,0.12
CMW,1704060000,0.12
SWM,1663600000,0.12
GEM,1641130000,0.12
PMV,1622920000,0.11
LNG,1593640000,0.11
BWP,1592910000,0.11
IRE,1589380000,0.11
CHC,1583370000,0.11
MQA,1565310000,0.11
MTU,1546190000,0.11
JBH,1537690000,0.11
CQR,1504620000,0.11
SUL,1502330000,0.11
SRX,1474310000,0.10
ABP,1461030000,0.10
TPI,1448540000,0.10
TME,1420950000,0.10
MIN,1412020000,0.10
BPT,1401300000,0.10
IIN,1333790000,0.09
AAD,1300650000,0.09
MSB,1293220000,0.09
IVC,1288450000,0.09
GFF,1261340000,0.09
SGH,1248000000,0.09
WHC,1230910000,0.09
NUF,1218350000,0.09
AHE,1204300000,0.09
PGH,1152860000,0.08
AHY,1129690000,0.08
VRL,1126140000,0.08
SCP,1123420000,0.08
OZL,1075800000,0.08
PNA,1054850000,0.07
AOG,1021550000,0.07
TNE,1019030000,0.07
MYR,986887000,0.07
WSA,981488000,0.07
MND,976483000,0.07
IGO,972165000,0.07
TSE,969570000,0.07
FXL,957903000,0.07
RFG,904666000,0.06
SIR,899690000,0.06
BRG,884648000,0.06
GXL,867062000,0.06
GWA,841435000,0.06
SIP,836605000,0.06
MMS,831077000,0.06
SAI,819383000,0.06
ARP,818585000,0.06
BGA,806507000,0.06
SDF,805365000,0.06
AWE,794050000,0.06
AGI,783024000,0.06
SFR,753243000,0.05
RRL,740676000,0.05
SXL,727663000,0.05
KAR,717746000,0.05
TEN,715628000,0.05
NST,710708000,0.05
ARI,704951000,0.05
CVO,692695000,0.05
JHC,628681000,0.04
BKN,622539000,0.04
CDD,609786000,0.04
MRM,599083000,0.04
CAB,572046000,0.04
VRT,559202000,0.04
TGR,555271000,0.04
OFX,526800000,0.04
KMD,521416000,0.04
SKE,516301000,0.04
GUD,509346000,0.04
DLS,488768000,0.03
SGN,465828000,0.03
PBG,465034000,0.03
SXY,454115000,0.03
SEA,443210000,0.03
MGX,430868000,0.03
SGT,427357000,0.03
NWS,400746000,0.03
EVN,375334000,0.03
UGL,371320000,0.03
PDN,366986000,0.03
HZN,302060000,0.02
LYC,198883000,0.01
AGO,190331000,0.01
BDR,185288000,0.01
RSG,157091000,0.01
MML,120521000,0.01
BCI,108306000,0.01
