date,price
19600112,204.3
19600121,202.2
19600201,199.5
19600210,198.2
19600219,199.7
19600302,197.5
19600311,199.3
19600322,206
19600331,207.5
19600411,206.3
19600421,208.4
19600502,208.5
19600511,206.4
19600520,186
19600601,184.6
19600610,185
19600621,182.5
19600630,183.4
19600712,182.3
19600721,184.2
19600801,184.7
19600810,185.6
19600819,185.6
19600830,185.1
19600909,186.5
19600920,187.6
19600929,195.1
19601010,195.3
19601019,195.6
19601028,198.3
19601109,200.5
19601118,200.4
19601130,203.4
19601209,207
19601220,207
19601230,208.5
19610111,209.5
19610120,211
19610131,213.2
19610209,211
19610220,211.3
19610302,209.7
19610313,208.4
19610322,205.3
19610403,196.3
19610412,192.6
19610421,191.4
19610502,190.5
19610511,186.4
19610522,186.2
19610601,185.7
19610612,187.2
19610621,189.4
19610630,192.2
19610712,190.5
19610721,196.4
19610801,197.4
19610810,198.3
19610821,199
19610830,197.2
19610911,199.6
19610920,201
19610929,204.5
19611010,203.2
19611019,203.3
19611030,202.2
19611108,203.3
19611117,202.4
19611129,205.7
19611208,206.3
19611219,204.7
19611229,207.2
19620110,205.6
19620119,203
19620130,202.7
19620208,202.6
19620219,199.6
19620301,201
19620312,203.4
19620321,205.4
19620330,207.3
19620410,209.7
19620419,210.2
19620501,214.2
19620510,214.3
19620521,217
19620531,214.4
19620611,214.7
19620620,214.2
19620629,211.1
19620711,212.2
19620720,212
19620731,212.3
19620809,205.4
19620820,207.4
19620829,208.2
19620910,208.7
19620919,201.2
19620928,199.7
19621009,203.1
19621018,205
19621029,205.3
19621108,207
19621119,206.7
19621129,205.1
19621210,207.7
19621219,211
19630102,210.6
19630111,208.2
19630122,208.6
19630131,211.4
19630211,208.2
19630220,205.4
19630304,207.6
19630313,207.7
19630322,204.6
19630402,206.6
19630411,211.2
19630423,210.4
19630502,209.4
19630513,207.4
19630522,185
19630603,185.2
19630612,186.7
19630621,187.2
19630702,185.5
19630712,179
19630723,179.5
19630801,178.4
19630812,180
19630821,179.4
19630830,177.2
19630911,186.5
19630920,203.4
19631001,207.4
19631010,211.4
19631021,211.7
19631030,215.3
19631108,217.6
19631119,212.2
19631202,215.6
19631211,217.3
19631220,218.5
19640102,219.3
19640113,223.1
19640122,219.4
19640131,218
19640211,220.2
19640220,219.3
19640303,206.4
19640312,197.7
19640323,193.3
19640402,203
19640413,208
19640422,201
19640501,197.7
19640512,195.2
19640521,151.5
19640602,151
19640611,144.2
19640622,142.4
19640701,141.1
19640713,141.4
19640722,139.6
19640731,140.7
19640811,140.2
19640820,143.7
19640831,143.1
19640910,143.5
19640921,147.4
19640930,147.6
19641009,151.1
19641020,151.4
19641029,150.3
19641110,153
19641119,151.1
19641201,148.6
19641210,149.1
19641221,153.6
19641231,149.7
19650112,149.4
19650121,147.1
19650201,150.3
19650210,150.3
19650219,148.7
19650303,149.3
19650312,148.2
19650323,149.4
19650401,148
19650412,148.7
19650422,148.7
19650503,144.2
19650512,146.7
19650521,139
19650602,139
19650611,139.4
19650622,138.2
19650701,141.6
19650713,139.5
19650722,146.5
19650802,147.4
19650811,154.5
19650820,151.7
19650831,155.2
19650910,154.5
19650921,156.3
19650930,161
19651011,158.5
19651020,161
19651029,163.2
19651109,163.4
19651118,163.1
19651130,161.3
19651209,165.5
19651220,163.4
19651230,168.5
19660111,169
19660120,168.3
19660131,166.1
19660209,168.6
19660218,167.7
19660302,161.6
19660311,159.7
19660322,158
19660331,156.7
19660412,159.6
19660421,162.6
19660502,162.6
19660511,162.2
19660520,162.3
19660601,170.6
19660610,168.6
19660621,185.6
19660630,182.2
19660712,187.4
19660721,186.4
19660801,187.1
19660810,188.4
19660819,190.2
19660830,186.5
19660909,192
19660920,185.1
19660929,175.2
19661010,172.2
19661019,172.7
19661028,170.2
19661109,173.2
19661118,174.4
19661130,177.2
19661209,175.2
19661220,177.6
19661230,175.6
19670111,174.7
19670120,168.6
19670201,162
19670210,164.7
19670221,173.6
19670303,174.5
19670314,177
19670323,173.3
19670404,178.1
19670413,170.4
19670424,166.6
19670503,163.6
19670512,164
19670523,168.5
19670602,166.7
19670613,158.3
19670622,154.4
19670703,148.5
19670713,148.2
19670724,153.6
19670802,153.6
19670811,151.2
19670822,148.6
19670831,145
19670912,146.5
19670921,154
19671002,153.4
19671011,153.4
19671020,153.2
19671031,152.4
19671109,148.6
19671120,144.3
19671130,144
19671211,144.3
19671220,150.3
19680102,146.2
19680111,148.3
19680122,146.1
19680131,147.1
19680209,148.7
19680221,148.7
19680304,146.1
19680313,150.5
19680322,149.5
19680402,145
19680415,138.1
19680424,136.3
19680503,134.7
19680514,137.1
19680523,139.5
19680604,134.3
19680613,129.7
19680624,127.3
19680703,125.3
19680715,128.5
19680724,127
19680802,123.7
19680813,118.1
19680822,119.2
19680903,115.6
19680912,119
19680923,119.4
19681002,120.7
19681011,125
19681022,125.7
19681031,128.5
19681112,130.5
19681121,128.3
19681203,128
19681212,127.1
19681223,134.375
19690103,135
19690114,135.625
19690123,134.5
19690203,134.5
19690212,133.125
19690224,129
19690305,129.875
19690314,131.25
19690325,127.375
19690407,126.5
19690416,130
19690425,131.875
19690506,131
19690515,132.25
19690526,128.75
19690605,130.875
19690616,126.125
19690625,129.875
19690707,128
19690716,125.875
19690728,121.25
19690806,122.625
19690815,126.375
19690826,125.75
19690905,130.875
19690916,131.375
19690925,134.25
19691006,136.375
19691015,137.75
19691024,136
19691104,135.375
19691113,140.125
19691124,140.625
19691204,142.625
19691215,143.5
19691224,148
19700108,146.75
19700119,144.63
19700128,143.5
19700206,144.63
19700217,152
19700227,152.38
19700310,150.25
19700319,145.75
19700331,144.25
19700409,146.38
19700420,148.63
19700429,152.25
19700508,149.25
19700519,150
19700528,134.5
19700609,135.13
19700618,136.5
19700629,141.25
19700709,142
19700720,141.63
19700729,147.5
19700807,146.38
19700818,151.5
19700827,157.75
19700908,164.13
19700917,163.75
19700928,169.75
19701007,171.38
19701016,171.75
19701027,175.63
19701106,176.5
19701117,170.13
19701127,169.75
19701208,169.75
19701217,167.63
19701229,169
19710108,168.38
19710119,170
19710128,165.13
19710208,171.63
19710218,169
19710301,167.25
19710310,167
19710319,161.5
19710330,157.63
19710408,162.25
19710420,160.63
19710429,159.25
19710510,158.88
19710519,170
19710528,157.5
19710609,159
19710618,162.25
19710629,157.25
19710709,152.5
19710720,154
19710729,147.25
19710809,143.25
19710818,143.25
19710827,148
19710908,150.88
19710917,142.13
19710928,144.88
19711007,149
19711018,158.25
19711027,161.38
19711105,164.88
19711116,164.13
19711126,165.75
19711207,167.75
19711216,173
19711228,164.13
19720107,161.13
19720118,165.75
19720127,165.88
19720207,160.13
19720216,161.13
19720228,164.75
19720308,160.63
19720317,162.5
19720328,158.13
19720407,160.88
19720418,158
19720427,163.75
19720508,162.75
19720517,163.5
19720526,147.38
19720607,142.88
19720616,143.38
19720627,143
19720707,150.75
19720718,152.25
19720727,153.25
19720807,180.25
19720816,178
19720825,184.5
19720906,191.75
19720915,214.75
19720926,213.5
19721005,208.75
19721016,222.5
19721025,216.5
19721103,223.5
19721115,230
